name,age,city
Alice 1,61,Madrid
Bob 2,41,New York
George 3,62,Toronto
Alice 4,63,New York
Hannah 5,43,Berlin
Diana 6,60,Paris
Hannah 7,38,Paris
Fiona 8,23,Sydney
Charlie 9,34,London
Bob 10,47,Tokyo
Alice 11,61,Seoul
Bob 12,27,Tokyo
Diana 13,46,Tokyo
George 14,28,Paris
Charlie 15,36,Toronto
Ian 16,23,Tokyo
Fiona 17,53,Tokyo
Edward 18,50,Seoul
Ian 19,34,Berlin
Hannah 20,27,Seoul
Charlie 21,42,Madrid
Bob 22,29,New York
Julia 23,65,Toronto
Edward 24,32,New York
George 25,31,New York
Fiona 26,31,New York
Edward 27,40,Seoul
Fiona 28,65,Paris
Charlie 29,63,New York
Fiona 30,27,Sydney
Bob 31,65,Paris
Ian 32,26,Madrid
George 33,32,New York
Diana 34,61,New York
Ian 35,32,Madrid
Fiona 36,41,Paris
Alice 37,30,Tokyo
Alice 38,64,Madrid
Ian 39,65,Tokyo
Diana 40,43,Tokyo
Diana 41,59,Mumbai
Diana 42,51,Sydney
Julia 43,61,Toronto
Alice 44,58,Berlin
George 45,65,Berlin
Hannah 46,35,Sydney
Ian 47,22,Mumbai
Edward 48,60,Sydney
Julia 49,52,Seoul
Edward 50,43,London
Charlie 51,36,Sydney
Alice 52,28,Paris
Diana 53,42,Madrid
Diana 54,27,Berlin
Hannah 55,37,Seoul
Ian 56,58,London
Charlie 57,62,New York
Hannah 58,45,London
Edward 59,65,Berlin
Julia 60,57,Mumbai
Ian 61,64,Sydney
Diana 62,65,London
Julia 63,54,Sydney
Hannah 64,60,London
George 65,52,Tokyo
Julia 66,60,Berlin
Hannah 67,45,Sydney
Edward 68,30,Paris
Julia 69,24,Mumbai
Julia 70,45,Toronto
Hannah 71,48,Seoul
Bob 72,39,New York
Charlie 73,54,Madrid
Hannah 74,40,London
Hannah 75,56,Berlin
Edward 76,48,Tokyo
Ian 77,25,London
Alice 78,56,Madrid
George 79,56,Toronto
Diana 80,58,Paris
Diana 81,30,Sydney
Hannah 82,51,Berlin
Alice 83,35,Mumbai
Charlie 84,24,Sydney
George 85,44,Berlin
Edward 86,61,Toronto
Edward 87,61,Sydney
Charlie 88,25,Tokyo
Bob 89,29,New York
Fiona 90,46,Paris
Fiona 91,50,London
Alice 92,29,Toronto
Julia 93,52,Sydney
George 94,58,New York
Bob 95,37,Paris
Diana 96,22,Seoul
Ian 97,64,Toronto
Hannah 98,39,Paris
Ian 99,41,Tokyo
Edward 100,60,Madrid
